Age,Income,Credit_Score,Income_to_Expense_Ratio,Marital_Status,Guarantor,Purpose,Dependents,Ongoing_Loans,Ongoing_Loan_Amount,Ongoing_Loan_EMI,FD,FD_Amount,Geo_Location,Employment_Years,Loan_Amount,Tenure_Months,EMI,Interest_Rate,Interest_Amount
61,122217,884,0.75,Single,No,Home loan,3,1,1086057,22164,No,0,Urban,36,50000,24,2276,8.66,4624
25,108934,695,0.53,Married,Yes,Auto loan,3,0,0,0,No,0,Urban,20,50000,60,1051,9.55,13060
64,152980,402,0.58,Single,Yes,Education loan,2,0,0,0,No,0,Rural,8,79855,24,3795,12.98,11225
52,219329,701,0.74,Single,No,Education loan,3,0,0,0,No,0,Rural,39,137957,24,6397,10.49,15571
31,267354,523,0.66,Married,No,Business loan,1,0,0,0,No,0,Urban,23,167630,120,2431,12.27,124090
34,71215,817,0.49,Single,Yes,Auto loan,5,0,0,0,Yes,969403,Urban,7,510873,120,6424,8.83,260007
53,196907,535,0.83,Single,Yes,Auto loan,4,1,1928401,80350,Yes,786034,Urban,23,50000,24,2333,11.15,5992
57,118048,726,0.31,Married,Yes,Home loan,5,1,1199869,36359,No,0,Urban,23,50000,120,639,9.24,26680
21,179530,415,0.9,Married,No,Personal loan,1,0,0,0,Yes,150338,Urban,9,51773,60,1200,13.85,20227
19,187241,462,0.28,Single,No,Education loan,1,1,570044,14251,Yes,815427,Urban,34,286507,60,6501,12.88,103553
23,148731,525,0.21,Married,Yes,Auto loan,5,0,0,0,Yes,850415,Urban,3,448632,24,21066,11.75,56952
59,249977,529,0.82,Married,Yes,Home loan,1,0,0,0,Yes,72706,Urban,8,231085,24,10846,11.71,29219
21,123688,481,0.37,Married,No,Home loan,0,0,0,0,Yes,286905,Rural,10,189217,36,6392,13.19,40895
46,230460,548,0.71,Married,No,Home loan,5,1,1923441,96172,No,0,Urban,12,50000,24,2354,12.02,6496
35,196823,617,0.77,Married,No,Personal loan,1,1,906509,23855,Yes,778271,Urban,26,246851,24,11543,11.33,30181
43,219987,509,0.8,Single,No,Auto loan,0,3,1522470,26710,Yes,70357,Urban,29,50000,12,4452,12.41,3424
61,279150,691,0.89,Married,Yes,Business loan,3,1,1641208,29840,Yes,863960,Urban,38,285076,36,9143,9.59,44072
51,259243,395,0.41,Single,No,Business loan,4,1,1799090,119939,No,0,Rural,11,50000,36,1697,13.55,11092
27,84218,385,0.7,Single,No,Home loan,4,2,976350,19144,No,0,Urban,18,50000,120,765,13.65,41800
53,206416,714,0.28,Married,No,Home loan,1,0,0,0,No,0,Rural,39,54906,36,1780,10.36,9174
31,42430,693,0.48,Single,Yes,Personal loan,4,0,0,0,No,0,Urban,3,50000,36,1615,10.07,8140
48,33091,800,0.79,Married,No,Home loan,0,1,282450,10087,Yes,79223,Urban,33,50000,120,646,9.5,27520
65,267125,881,0.46,Married,No,Medical loan,3,1,944283,19672,Yes,99877,Urban,22,50000,12,4365,8.69,2380
32,33989,432,0.61,Married,No,Auto loan,1,3,644853,46060,Yes,807167,Rural,25,50000,12,4470,13.18,3640
25,85451,613,0.55,Single,No,Home loan,2,2,1943810,129587,No,0,Rural,6,50000,36,1657,11.87,9652
31,28990,520,0.65,Single,No,Home loan,5,0,0,0,No,0,Urban,17,50000,36,1667,12.3,10012
40,260541,737,0.88,Married,No,Auto loan,4,0,0,0,Yes,94487,Urban,3,230664,24,10711,10.63,26400
57,152105,345,0.24,Married,No,Education loan,4,1,1114848,21859,Yes,950599,Urban,7,242195,240,3108,14.55,503725
38,288385,491,0.6,Single,No,Medical loan,1,1,229685,8506,No,0,Rural,21,62307,60,1404,12.59,21933
33,134932,819,0.8,Single,Yes,Medical loan,5,2,925738,42079,Yes,713391,Urban,25,50000,60,1021,8.31,11260
62,278083,678,0.54,Married,No,Business loan,5,0,0,0,No,0,Urban,12,112623,36,3672,10.72,19569
35,123000,633,0.25,Single,No,Home loan,4,2,1486882,39128,No,0,Rural,16,50000,24,2334,11.17,6016
64,188634,338,0.59,Married,No,Auto loan,4,0,0,0,No,0,Urban,35,89035,240,1114,14.12,178325
41,45063,592,0.43,Married,No,Business loan,2,1,849536,22960,No,0,Rural,40,50000,240,535,11.58,78400
43,217793,461,0.31,Married,No,Personal loan,5,2,983359,23413,Yes,731113,Rural,14,135237,60,3069,12.89,48903
42,168117,630,0.79,Single,No,Education loan,0,3,957495,21277,No,0,Rural,17,50000,24,2335,11.2,6040
62,94703,403,0.57,Single,Yes,Home loan,1,1,1332647,70139,No,0,Rural,26,50000,12,4453,12.47,3436
58,245796,460,0.85,Single,Yes,Education loan,1,3,1165031,23300,Yes,930629,Urban,5,384194,60,8624,12.4,133246
46,138557,353,0.76,Married,Yes,Home loan,2,3,354850,29570,No,0,Urban,33,50000,60,1136,12.97,18160
32,299220,333,0.69,Married,No,Home loan,2,3,1395246,107326,No,0,Urban,40,50000,120,781,14.17,43720
62,263317,541,0.2,Married,Yes,Home loan,0,0,0,0,Yes,127137,Rural,4,116231,60,2561,11.59,37429
18,205877,412,0.5,Married,Yes,Education loan,3,3,805495,21197,No,0,Urban,11,50000,36,1669,12.38,10084
42,53309,617,0.34,Single,Yes,Medical loan,1,0,0,0,Yes,265332,Urban,28,149884,24,6939,10.33,16652
24,53527,322,0.84,Married,No,Personal loan,5,2,714723,12762,No,0,Rural,36,50000,60,1170,14.28,20200
26,234490,857,0.32,Married,No,Medical loan,4,1,1410231,26115,Yes,322819,Rural,11,50000,12,4370,8.93,2440
41,149883,417,0.4,Married,Yes,Auto loan,0,0,0,0,No,0,Urban,24,59953,36,2000,12.33,12047
18,103344,511,0.56,Single,No,Auto loan,1,0,0,0,Yes,482523,Urban,33,296240,120,4317,12.39,221800
61,165344,717,0.38,Married,No,Medical loan,5,2,1679602,119971,Yes,619509,Urban,10,50000,240,510,10.83,72400
25,233564,412,0.35,Married,Yes,Personal loan,0,2,129791,2884,No,0,Urban,22,50000,36,1669,12.38,10084
41,57153,343,0.62,Married,No,Personal loan,3,1,1036850,38401,No,0,Urban,23,50000,60,1165,14.07,19900
28,118042,427,0.26,Single,No,Home loan,5,2,51440,4286,No,0,Urban,17,50000,60,1143,13.23,18580
34,64110,457,0.24,Married,Yes,Home loan,1,0,0,0,No,0,Urban,9,50000,60,1123,12.43,17380
25,155051,693,0.46,Single,Yes,Auto loan,4,1,1470135,81674,No,0,Urban,4,50000,24,2308,10.07,5392
52,251131,811,0.7,Married,No,Home loan,5,1,772615,16795,No,0,Urban,30,50000,60,1047,9.39,12820
52,249173,344,0.59,Married,No,Home loan,1,1,1481080,44881,Yes,560945,Rural,24,50000,60,1164,14.06,19840
50,38328,407,0.5,Married,Yes,Personal loan,0,3,749573,12704,Yes,995603,Urban,16,364517,60,8187,12.43,126703
22,122911,518,0.6,Married,No,Education loan,3,3,1885563,43850,Yes,276063,Urban,27,50000,120,726,12.32,37120
59,285011,742,0.46,Married,No,Medical loan,5,0,0,0,Yes,139020,Urban,0,167838,120,2272,10.58,104802
56,69234,614,0.86,Single,No,Business loan,0,3,1730593,46772,Yes,362855,Rural,1,50000,120,713,11.86,35560
58,297995,476,0.24,Single,Yes,Business loan,0,2,1700512,100030,No,0,Rural,39,50000,36,1654,11.74,9544
45,258503,527,0.67,Married,No,Home loan,2,1,701207,12301,No,0,Urban,1,50000,12,4459,12.73,3508
24,237135,566,0.82,Married,No,Home loan,0,0,0,0,No,0,Rural,26,194450,120,2771,11.84,138070
26,83402,678,0.76,Single,No,Medical loan,5,2,1559625,70892,No,0,Urban,7,50000,12,4424,11.22,3088
25,287593,788,0.33,Single,No,Business loan,3,1,1886543,44917,No,0,Urban,26,50000,60,1053,9.62,13180
29,15451,589,0.41,Married,No,Personal loan,4,2,1244579,38893,Yes,754461,Urban,36,50000,36,1651,11.61,9436
51,97178,656,0.7,Married,No,Business loan,2,3,169773,5144,No,0,Urban,16,50000,120,687,10.94,32440
50,246562,503,0.26,Married,No,Business loan,0,2,1061674,88472,No,0,Urban,3,50000,60,1136,12.97,18160
65,133765,512,0.77,Single,No,Business loan,5,3,1667126,52097,No,0,Urban,37,50000,36,1669,12.38,10084
40,138389,851,0.7,Married,No,Home loan,1,2,1451741,25923,No,0,Urban,30,50000,36,1589,8.99,7204
41,199699,622,0.71,Married,Yes,Home loan,2,0,0,0,Yes,984288,Urban,4,619751,24,28821,10.78,71953
54,207227,893,0.27,Married,No,Medical loan,3,3,303902,9803,No,0,Urban,24,50000,36,1579,8.57,6844
52,297516,480,0.7,Married,Yes,Business loan,1,3,1647451,82372,Yes,873410,Urban,27,50000,60,1104,11.7,16240
61,275786,798,0.68,Single,No,Home loan,3,1,411427,10827,Yes,865454,Urban,18,462207,36,14810,9.52,70953
57,270220,619,0.78,Married,No,Medical loan,1,3,1262688,31567,No,0,Rural,36,50000,240,526,11.31,76240
39,235898,382,0.23,Single,No,Business loan,4,1,357687,6623,Yes,659539,Rural,22,293698,12,26326,13.68,22214
44,286266,602,0.22,Single,Yes,Personal loan,3,3,1449897,32952,No,0,Urban,35,50000,12,4406,10.48,2872
52,78431,561,0.46,Married,No,Home loan,1,3,994077,17751,Yes,798337,Urban,12,220430,60,4891,11.89,73030
18,65745,499,0.3,Married,No,Education loan,3,3,1693544,141128,No,0,Urban,16,50000,60,1125,12.51,17500
52,60081,539,0.59,Married,Yes,Medical loan,2,3,1480041,105717,No,0,Rural,29,50000,60,1089,11.11,15340
54,226204,594,0.84,Married,No,Home loan,3,1,762622,17735,No,0,Urban,22,50000,24,2343,11.56,6232
64,86253,811,0.47,Single,No,Personal loan,5,0,0,0,Yes,349883,Urban,2,205345,36,6615,9.89,32795
31,282355,695,0.79,Married,No,Personal loan,3,2,1493480,48176,No,0,Urban,12,50000,24,2319,10.55,5656
20,121086,437,0.2,Single,No,Home loan,1,3,1212200,43292,No,0,Urban,31,50000,36,1687,13.13,10732
18,103783,428,0.32,Married,No,Auto loan,3,3,919947,19165,Yes,919601,Rural,34,258049,36,8722,13.22,55943
22,135681,348,0.22,Single,No,Medical loan,4,0,0,0,Yes,819509,Urban,1,433634,60,10207,14.52,178786
43,97893,592,0.43,Married,Yes,Business loan,0,1,868235,17719,Yes,54226,Rural,2,50000,24,2332,11.08,5968
31,168763,835,0.84,Single,Yes,Business loan,2,2,721514,34357,Yes,466007,Rural,28,50000,12,4352,8.15,2224
56,87960,610,0.27,Married,No,Personal loan,5,0,0,0,Yes,792923,Rural,9,414273,36,13740,11.9,80367
44,32601,836,0.62,Married,No,Home loan,1,0,0,0,No,0,Rural,19,50000,12,4375,9.14,2500
26,149227,533,0.52,Married,Yes,Auto loan,3,0,0,0,Yes,936690,Urban,33,534303,120,7411,11.17,355017
32,210191,508,0.86,Married,Yes,Medical loan,3,0,0,0,No,0,Urban,14,153649,240,1630,11.42,237551
32,177849,393,0.29,Married,No,Education loan,3,3,692218,12818,No,0,Urban,39,50000,240,606,13.57,95440
43,291854,626,0.35,Married,No,Business loan,2,2,808347,14434,No,0,Urban,0,50000,36,1654,11.74,9544
59,165604,524,0.22,Married,Yes,Medical loan,5,3,786019,19650,Yes,401041,Urban,25,50000,120,696,11.26,33520
30,138727,310,0.5,Married,No,Medical loan,0,0,0,0,No,0,Urban,31,69363,120,1093,14.4,61797
49,73227,628,0.39,Single,Yes,Auto loan,4,2,73998,1396,Yes,832516,Urban,1,422352,60,9124,10.72,125088
56,146039,311,0.81,Single,No,Medical loan,5,0,0,0,Yes,418988,Urban,31,298212,120,4700,14.39,265788
49,94289,334,0.62,Single,No,Business loan,4,1,1104362,19374,Yes,879910,Urban,40,254234,240,3191,14.16,511606
21,161094,746,0.63,Single,No,Home loan,5,0,0,0,No,0,Rural,28,76116,36,2457,10.04,12336
47,215743,751,0.57,Married,No,Business loan,1,0,0,0,No,0,Rural,19,116824,36,3769,9.99,18860
54,277866,519,0.26,Single,No,Education loan,0,1,1157635,26921,Yes,762864,Rural,22,130625,60,2926,12.31,44935
40,168485,740,0.51,Single,Yes,Home loan,0,3,1325473,55228,No,0,Urban,11,50000,36,1592,9.1,7312
56,243820,834,0.9,Single,Yes,Personal loan,2,2,1300313,30959,Yes,615361,Urban,9,133666,12,11668,8.66,6350
62,246994,894,0.78,Married,No,Auto loan,5,0,0,0,No,0,Urban,18,144491,24,6571,8.56,13213
32,78323,528,0.83,Married,No,Business loan,3,0,0,0,No,0,Urban,9,55256,120,815,12.72,42544
60,295960,643,0.78,Single,No,Home loan,0,1,668738,44582,Yes,842593,Urban,18,117161,12,10358,11.07,7135
46,50695,379,0.27,Married,No,Medical loan,5,2,249453,8601,Yes,409609,Rural,25,111858,240,1367,13.71,216222
53,65841,652,0.36,Single,No,Home loan,3,1,648272,29466,No,0,Urban,23,50000,120,688,10.98,32560
30,208784,695,0.2,Married,Yes,Business loan,2,0,0,0,No,0,Urban,8,50000,24,2308,10.05,5392
49,117096,589,0.41,Married,No,Personal loan,5,3,1809226,34136,Yes,874661,Rural,28,63705,60,1404,11.61,20535
24,102764,754,0.28,Single,No,Business loan,5,3,1344645,46367,No,0,Rural,28,50000,60,1061,9.96,13660
39,95744,427,0.53,Married,No,Personal loan,1,2,1125715,21648,Yes,518429,Rural,36,50000,240,593,13.23,92320
45,19171,842,0.67,Married,No,Medical loan,5,0,0,0,No,0,Urban,27,50000,60,1039,9.08,12340
19,110755,658,0.81,Married,No,Business loan,1,1,792614,16512,Yes,51628,Rural,2,50000,120,700,11.42,34000
59,118125,826,0.72,Married,No,Home loan,3,0,0,0,No,0,Urban,22,72292,60,1509,9.24,18248
62,13696,612,0.86,Single,No,Education loan,3,1,1016534,23103,No,0,Urban,3,50000,60,1109,11.88,16540
23,136310,374,0.24,Single,No,Education loan,0,1,864425,18008,No,0,Urban,13,50000,12,4483,13.76,3796
45,161385,845,0.21,Single,No,Medical loan,2,2,1402768,100197,No,0,Urban,37,50000,60,1039,9.05,12340
45,291293,495,0.66,Single,No,Home loan,1,1,1242571,103547,No,0,Rural,12,50000,60,1126,12.55,17560
61,55740,328,0.4,Single,No,Education loan,0,2,456300,15210,Yes,909948,Rural,27,294750,120,4615,14.22,259050
61,116611,315,0.38,Married,No,Medical loan,4,3,919528,54089,Yes,414686,Urban,38,50000,60,1172,14.35,20320
37,258922,722,0.43,Single,No,Personal loan,0,2,990071,47146,Yes,998878,Urban,19,50000,24,2313,10.28,5512
47,73811,888,0.39,Married,No,Home loan,3,2,593769,12370,Yes,883324,Urban,27,317690,24,14458,8.62,29302
28,192385,892,0.56,Married,No,Personal loan,4,2,1458272,63403,No,0,Urban,31,50000,36,1580,8.58,6880
45,73232,704,0.51,Married,Yes,Home loan,0,3,1109998,20181,Yes,651699,Urban,13,121025,240,1124,9.46,148735
42,287561,830,0.56,Married,No,Personal loan,5,2,903692,32274,Yes,335124,Urban,12,50000,24,2288,9.2,4912
56,165801,376,0.67,Married,No,Personal loan,2,1,1325655,34885,No,0,Urban,10,50000,12,4495,14.24,3940
50,122492,528,0.47,Married,Yes,Education loan,1,1,380308,29254,No,0,Rural,37,50000,24,2335,11.22,6040
18,40099,596,0.38,Married,No,Home loan,5,2,1678160,46615,No,0,Urban,38,50000,24,2342,11.54,6208
44,239206,809,0.32,Married,No,Business loan,4,1,832414,14603,Yes,215835,Rural,14,50000,120,644,9.41,27280
30,128474,872,0.44,Married,No,Education loan,2,2,864307,15714,Yes,453517,Urban,8,89066,12,7800,9.28,4534
58,281400,837,0.72,Single,No,Personal loan,0,3,592022,15180,No,0,Urban,2,50000,24,2298,9.63,5152
20,253588,882,0.73,Married,No,Personal loan,5,1,532861,9515,No,0,Rural,4,50000,120,638,9.18,26560
56,44681,625,0.67,Married,Yes,Business loan,3,2,1033659,21534,Yes,771491,Urban,27,152783,36,4947,10.25,25309
23,101328,662,0.36,Single,No,Business loan,3,0,0,0,No,0,Rural,14,50000,120,685,10.88,32200
25,228512,658,0.61,Single,Yes,Personal loan,2,3,625988,13041,No,0,Rural,2,50000,120,672,10.42,30640
44,44540,623,0.6,Married,Yes,Business loan,3,0,0,0,No,0,Urban,34,50000,120,668,10.27,30160
26,167608,625,0.54,Married,No,Auto loan,1,2,588074,21002,No,0,Urban,6,50000,120,710,11.75,35200
54,94700,464,0.58,Single,No,Education loan,2,1,1747122,109195,No,0,Rural,29,50000,12,4462,12.86,3544
50,197647,872,0.54,Married,No,Home loan,2,2,628683,20956,No,0,Urban,23,50000,24,2279,8.78,4696
59,56002,754,0.6,Married,No,Business loan,3,1,1323818,88254,No,0,Urban,30,50000,60,1061,9.96,13660
61,59812,452,0.7,Married,No,Business loan,2,2,1556963,31139,No,0,Rural,13,50000,24,2376,12.98,7024
41,201051,426,0.28,Married,No,Auto loan,0,2,1214241,22485,No,0,Urban,15,50000,120,753,13.24,40360
32,267906,492,0.72,Married,No,Home loan,4,1,923895,18855,No,0,Urban,3,50000,12,4467,13.08,3604
49,118946,829,0.3,Married,Yes,Auto loan,5,1,1949771,34817,No,0,Urban,2,50000,240,440,8.71,55600
49,76668,309,0.25,Single,Yes,Home loan,4,2,1042769,18959,No,0,Urban,34,50000,36,1694,13.41,10984
41,109003,391,0.88,Married,No,Education loan,5,0,0,0,No,0,Urban,8,71941,24,3457,14.09,11027
58,221142,438,0.87,Married,Yes,Business loan,3,3,1186349,28935,No,0,Urban,3,50000,120,735,12.62,38200
29,230462,780,0.24,Married,No,Education loan,1,0,0,0,No,0,Urban,18,52545,240,496,9.7,66495
56,204886,748,0.51,Married,No,Home loan,1,0,0,0,No,0,Urban,23,99267,60,2110,10.02,27333
19,114601,632,0.33,Single,Yes,Business loan,3,0,0,0,Yes,526075,Rural,10,295183,12,26044,10.68,17345
20,279956,639,0.54,Married,No,Auto loan,3,0,0,0,No,0,Urban,14,128499,36,4213,11.11,23169
54,71844,351,0.78,Single,Yes,Personal loan,2,1,676364,15729,No,0,Rural,35,50000,60,1137,12.99,18220
34,211165,765,0.87,Single,No,Auto loan,1,0,0,0,No,0,Urban,30,174527,120,2291,9.85,100393
19,184870,774,0.64,Single,No,Personal loan,4,3,241994,5041,No,0,Rural,7,50000,24,2313,10.26,5512
19,84601,700,0.45,Single,No,Auto loan,3,1,85301,2244,Yes,362595,Urban,1,186729,24,8703,11.0,22143
45,292844,738,0.62,Married,Yes,Home loan,4,0,0,0,No,0,Urban,2,145250,120,1889,9.62,81430
40,267927,897,0.42,Single,No,Education loan,5,1,1336621,31084,No,0,Rural,2,50000,240,450,9.03,58000
54,183423,808,0.84,Single,Yes,Personal loan,4,0,0,0,No,0,Urban,20,123260,120,1522,8.42,59380
49,103330,452,0.81,Married,No,Home loan,1,0,0,0,Yes,438774,Rural,11,298899,120,4459,12.98,236181
50,235391,813,0.59,Single,No,Education loan,5,3,766358,14459,No,0,Urban,13,50000,120,643,9.37,27160
18,223606,802,0.43,Single,No,Education loan,4,1,166582,7571,No,0,Rural,22,50000,24,2295,9.48,5080
36,201387,305,0.41,Single,No,Business loan,2,1,1682588,32357,No,0,Urban,12,50000,24,2411,14.45,7864
19,251133,799,0.22,Single,No,Business loan,2,2,1681840,70076,No,0,Urban,15,50000,60,1050,9.51,13000
61,172627,417,0.77,Single,Yes,Business loan,1,0,0,0,Yes,333942,Urban,16,293247,120,4263,12.33,218313
43,188048,784,0.52,Single,Yes,Personal loan,2,0,0,0,No,0,Urban,17,88006,120,1098,8.66,43754
49,55095,900,0.43,Married,No,Personal loan,3,3,858167,18655,No,0,Urban,12,50000,60,1025,8.5,11500
23,155342,767,0.53,Single,Yes,Education loan,5,3,674632,24094,No,0,Urban,25,50000,36,1586,8.83,7096
49,171980,460,0.77,Single,No,Personal loan,1,1,395629,9649,No,0,Rural,39,50000,120,743,12.9,39160
21,287667,569,0.29,Married,No,Education loan,5,3,1119085,38589,No,0,Urban,38,50000,12,4437,11.81,3244
28,72433,355,0.8,Married,No,Home loan,4,1,1717798,35787,No,0,Rural,30,50000,36,1707,13.95,11452
34,29991,527,0.83,Married,No,Auto loan,3,0,0,0,No,0,Rural,39,50000,24,2359,12.23,6616
55,282919,448,0.86,Married,No,Education loan,1,0,0,0,No,0,Urban,16,231144,60,5261,13.02,84516
41,157745,345,0.48,Single,No,Education loan,4,1,1037308,17581,No,0,Urban,31,50000,240,623,14.05,99520
22,132808,443,0.35,Married,No,Home loan,4,3,740967,18072,No,0,Urban,0,50000,60,1152,13.57,19120
51,168128,639,0.46,Single,No,Business loan,4,3,830215,22438,No,0,Urban,34,50000,60,1089,11.11,15340
23,147686,712,0.43,Single,No,Medical loan,4,1,163362,6050,No,0,Rural,35,50000,24,2316,10.38,5584
39,17415,819,0.32,Married,No,Business loan,4,0,0,0,No,0,Urban,18,50000,36,1597,9.31,7492
28,256038,643,0.63,Married,No,Business loan,1,1,102540,4660,Yes,763856,Urban,27,479246,60,10436,11.07,146914
65,264205,686,0.53,Married,No,Education loan,2,3,1794880,119658,Yes,505019,Urban,1,50000,12,4422,11.14,3064
33,198221,772,0.81,Married,Yes,Education loan,4,1,875740,16841,No,0,Urban,28,50000,60,1032,8.78,11920
50,178616,574,0.22,Single,No,Personal loan,3,0,0,0,No,0,Urban,28,50000,120,710,11.76,35200
26,59976,652,0.65,Married,No,Personal loan,1,2,979916,37689,Yes,817042,Urban,18,50000,120,688,10.98,32560
23,275976,365,0.73,Married,No,Auto loan,0,1,413191,17964,No,0,Rural,27,50000,12,4485,13.85,3820
